#1
//x,y,z,width,height,length,color,type
5.5, 0.0, -55, 11,  1.0, 150,  9,  1 // Gray
-6, 0, 15, 6,  1,  18,  9,  1 // Gray
17, 0, 15, 6,  1,  18,  9,  1 // Gray
-4.75, 1, 3, 3.5,  3,  6,  2,  1 // Red
15.7, 1, 3, 3.5,  3,  6,  2,  1 // Red
-1.5, 0, 3, 3,  1,  6,  10,  1 // Brown
12.5, 0, 3, 3,  1,  6,  10,  1 // Brown
-4.75, 0, -20, 3.5,  1, 40,  9,  1 // Gray
15.7, 0, -20, 3.5,  1, 40,  9,  1 // Gray
-4.75, 1, -43, 3.5,  3,  6,  2,  1 // Red
15.7, 1, -43, 3.5,  3,  6,  2,  1 // Red
-1.5, 0, -43, 3,  1,  6,  10,  1 // Brown
12.5, 0, -43, 3,  1,  6,  10,  1 // Brown
-4.75, 0, -58.5, 3.5,  1, 25,  9,  1 // Gray
15.7, 0, -58.5, 3.5,  1, 25,  9,  1 // Gray
-4.75, 0, -88, 3.5,  1, 20,  9,  1 // Gray
15.7, 0, -88, 3.5,  1, 20,  9,  1 // Gray
-4.75, 1, -101, 3.5,  3,  6,  2,  1 // Red
15.7, 1, -101, 3.5,  3,  6,  2,  1 // Red
-1.5, 0, -101, 3,  1,  6,  10,  1 // Brown
12.5, 0, -101, 3,  1,  6,  10,  1 // Brown
-4.75, 0, -114, 3.5,  1, 20,  9,  1 // Gray
15.7, 0, -114, 3.5,  1, 20,  9,  1 // Gray
-4.75, 1, -127, 3.5,  3,  6,  2,  1 // Red
15.7, 1, -127, 3.5,  3,  6,  2,  1 // Red
-1.5, 0, -127, 3,  1,  6,  10,  1 // Brown
12.5, 0, -127, 3,  1,  6,  10,  1 // Brown
-4.7, 0, -140, 3.5,  1, 20,  9,  1 // Gray
15.7, 0, -140, 3.5,  1, 20,  9,  1 // Gray
1.75, 0.0, -143, 3.5,  1.0, 26,  9,  1 // Gray
9.25, 0, -143, 3.5,  1, 26,  9,  1 // Gray
-1.5, 0, -181, 10,  1,  50,  10,  1 // Brown
12.5, 0, -181, 10,  1,  50,  10,  1 // Brown
-4.75, 1, -196, 3.5,  3, 20,  2,  1 // Red
15.7, 1, -196, 3.5,  3, 20,  2,  1 // Red
0.25, 0, -231, 6.5,  1, 50,  9,  1 // Gray
10.75, 0, -231, 6.5,  1, 50,  9,  1 // Gray
1.7, 0.7, -236, 3,  3,  6,  2,  2 // Red Tunnel
9.3, 0.7, -236, 3,  3,  6,  2,  2 // Red Tunnel
5.5, 0, -236, 4,  1, 6,  9,  1 // Gray
1.75, 0, -276, 3.5,  1, 40,  9,  1 // Gray
9.25, 0, -276, 3.5,  1, 40,  9,  1 // Gray
1.9, 0.7, -275, 3,  3,  6,  2,  2 // Red Tunnel
9.1, 0.7, -275, 3,  3,  6,  2,  2 // Red Tunnel
5.5, 0, -275, 4,  1, 6,  9,  1 // Gray
5.5, 0, -306, 11,  1, 20,  9,  1 // Gray
5.5, 0, -331, 3.5,  1, 30,  9,  1 // Gray
5.5, 0.7, -331, 3.5,  3,  30,  2,  2 // Red Tunnel
-1.5, 0, -390, 3,  1,  80,  5,  1 // Orange
12.5, 0, -390, 3,  1,  80,  5,  1 // Orange
1.9, 0, -380, 3.7,  1, 12,  5,  1 // Orange
9.1, 0, -380, 3.7,  1, 12,  5,  1 // Orange
1.9, 0, -402, 3.7,  1, 12,  5,  1 // Orange
9.1, 0, -402, 3.7,  1, 12,  5,  1 // Orange
5.5, 0, -416, 3.5,  1, 140,  5,  1 // Orange
5.5, 0.7, -490, 3.5,  3,  30,  2,  2 // Red Tunnel
#2
//6, 4, -45, 2,  3,  3,  1,  1 // Blue
