//  x,    y,       z,  width, height, length, color,  type
  5.5,    0,    -400,   2.25,   0.25,   1000,    11,     1 // Dark Green
 3.25,    0,    -450,   2.25,   0.25,    500,     9,     1 // Gray
 7.75,    0,    -450,   2.25,   0.25,    500,     9,     1 // Gray
-1.25,    0,    -450,   2.25,   0.25,    300,     9,     1 // Gray
12.25,    0,    -450,   2.25,   0.25,    300,     9,     1 // Gray
    1,    0,    -600,   2.25,   0.25,    300,    11,     1 // Dark Green
   10,    0,    -600,   2.25,   0.25,    300,    11,     1 // Dark Green
  5.5,    0,   -1150,   2.25,   0.25,    300,     4,     1 // Yellow
 3.25,    0,   -1150,   2.25,   0.25,    200,     9,     1 // Gray
 7.75,    0,   -1150,   2.25,   0.25,    200,     9,     1 // Gray
    1,    0,   -1165,   2.25,   0.25,    268,     4,     1 // Yellow
   10,    0,   -1165,   2.25,   0.25,    268,     4,     1 // Yellow
-1.25,    0,   -1210,   2.25,   0.25,     80,     9,     1 // Gray
12.25,    0,   -1210,   2.25,   0.25,     80,     9,     1 // Gray
    1,    0,   -1380,   2.25,   0.25,     80,     7,     1 // Pink
   10,    0,   -1380,   2.25,   0.25,     80,     7,     1 // Pink
-1.25,    0,   -1380,   2.25,   0.25,     40,     7,     1 // Pink
12.25,    0,   -1380,   2.25,   0.25,     40,     7,     1 // Pink
  5.5,    0,   -1410,   6.75,   0.25,     20,     7,     1 // Pink
  5.5,  0.5,   -1480,   6.75,   0.75,    160,     12,    1 // Light Gray
  5.5,  0.5,   -1565,   3.00,   0.75,     10,     12,    1 // Light Gray
  5.5,  0.5, -1582.5,   6.75,   0.75,     25,     12,    1 // Light Gray
  5.5,  0.5,   -1600,   3.00,   0.75,     10,     12,    1 // Light Gray
  5.5,  0.5, -1617.5,   6.75,   0.75,     25,     12,    1 // Light Gray
 0.75, 1.75,   -1660,      3,   0.5,      60,     12,    1 // Light Gray
10.25, 1.75,   -1660,      3,   0.5,      60,     12,    1 // Light Gray
  5.5, 1.70,   -1740,   6.75,   0.15,     80,      6,    1 // Purple
-1.25, 2.25,   -1835,   2.25,   0.15,    160,      5,    1 // Orange
12.25, 2.25,   -1835,   2.25,   0.15,    160,      5,    1 // Orange
  5.5, 2.25,   -1850,   6.75,   0.15,    130,      5,    1 // Orange
    1, 2.25,   -1790,   2.25,   0.15,     10,      5,    1 // Orange
   10, 2.25,   -1790,   2.25,   0.15,     10,      5,    1 // Orange
    1, 2.25,   -1985,   2.25,   0.15,    200,      5,    1 // Orange
   10, 2.25,   -1985,   2.25,   0.15,    200,      5,    1 // Orange
    1,  2.4,   -1940,   2.10,   2.15,     20,     12,    2 // Light Gray Tunnel
   10,  2.4,   -1940,   2.10,   2.15,     20,     12,    2 // Light Gray Tunnel
  5.5, 2.25,   -1940,   6.75,   0.15,     20,      5,    1 // Orange
  5.5,  3.5,   -1940,   6.75,   2.25,     20,     12,    1 // Light Gray
    1,  2.4,   -2020,   2.10,   2.15,     20,     12,    2 // Light Gray Tunnel
   10,  2.4,   -2020,   2.10,   2.15,     20,     12,    2 // Light Gray Tunnel
-1.25,  3.5,   -1990,   2.25,   2.15,     80,     12,    1 // Light Gray
12.25,  3.5,   -1990,   2.25,   2.25,     80,     12,    1 // Light Gray
  5.5, 2.25,   -2090,   6.75,   0.15,     60,      5,    1 // Orange
  5.5, 2.25,   -2150,    3.5,   0.15,     60,      5,    1 // Orange
  5.5, 2.75,   -2170,      3,      3,     20,      4,    2 // Yellow Tunnel
