//  x,      y,       z,  width, height, length, color,  type, exit
  5.5,      0,     -32,     10,   0.25,    120,    13,     1,    0 // Violet
 -0.5,   0.75,     -80,      3,      3,     20,     8,     2,    0 // White Tunnel
 11.5,   0.75,     -80,      3,      3,     20,     8,     2,    0 // White Tunnel
  1.5,      0,    -130,      5,   0.25,     30,    13,     1,    0 // Violet
  9.5,      0,    -130,      5,   0.25,     30,    13,     1,    0 // Violet
    7,      1,    -180,      3,   0.25,     30,    13,     1,    0 // Violet
    1,      2,    -230,      3,   0.25,     30,    13,     1,    0 // Violet
    7,      3,    -270,      3,   0.25,     30,    13,     1,    0 // Violet
    1,      4,    -310,      5,   0.25,     40,    13,     1,    0 // Violet
 -0.5,    4.6,    -310,      2,      1,     40,     8,     1,    0 // White
  4.5,      4,    -333,      2,   0.25,      5,    13,     1,    0 // Violet
  4.5,    4.6,    -333,      2,      1,      5,     8,     1,    0 // White
    1,      4,    -380,      2,   0.25,     60,    13,     1,    0 // Violet
  3.5,      4,    -410,      3,   0.25,     40,    13,     1,    0 // Violet
    6,      4,    -420,      2,   0.25,     20,    13,     1,    0 // Violet
    8,      4,    -450,      2,   0.25,     20,    13,     1,    0 // Violet
 10.5,      4,    -475,      3,   0.25,     50,    13,     1,    0 // Violet
    8,      4,    -510,      2,   0.25,     40,    13,     1,    0 // Violet
   10,      4,    -515,      2,   0.25,     30,    13,     1,    0 // Violet
    5,      4,    -540,      4,   0.25,     20,     3,     1,    0 // Green
    1,      4,    -565,      4,   0.25,     30,    13,     1,    0 // Violet
    1,      4,    -600,      4,   0.25,     20,     1,     1,    0 // Dark Blue
    1,      4,    -635,      4,   0.25,     30,    13,     1,    0 // Violet
    5,      4,    -660,      4,   0.25,     20,     3,     1,    0 // Green
    9,      4,    -680,      4,   0.25,     20,    13,     1,    0 // Violet
    9,      4,    -710,      4,   0.25,     20,    14,     1,    0 // Lime
    9,      4,    -745,      4,   0.25,     50,    13,     1,    0 // Violet
  7.7,    4.5,    -735,    1.6,    1.6,     30,    11,     2,    0 // Dark Green Tunnel
  9.5,    4.5,    -735,    1.6,    1.6,     30,    11,     2,    0 // Dark Green Tunnel
    9,   5.15,    -766,      4,      2,      6,     8,     1,    0 // White
    5,      4,    -778,      4,   0.25,     50,     3,     1,    0 // Green
  4.2,    4.5,    -777,    1.6,    1.6,     30,    11,     2,    0 // Dark Green Tunnel
    6,    4.5,    -777,    1.6,    1.6,     30,    11,     2,    0 // Dark Green Tunnel
  5.25,    4.8,   -790,    2.5,    0.7,    0.5,     8,     1,    1 // White Exit
